azurerm_aadb2c_directory,Microsoft.AzureActiveDirectory/b2cDirectories
azurerm_disk_access,false
azurerm_disk_encryption_set,false
azurerm_disk_pool,false
azurerm_disk_pool_iscsi_target,false
azurerm_disk_pool_iscsi_target_lun,false
azurerm_disk_pool_managed_disk_attachment,false
azurerm_dns_a_record,false
azurerm_dns_aaaa_record,false
azurerm_dns_caa_record,false
azurerm_dns_cname_record,false
azurerm_dns_mx_record,false
azurerm_dns_ns_record,false
azurerm_dns_ptr_record,false
azurerm_dns_srv_record,false
azurerm_dns_txt_record,false
azurerm_dns_zone,false
azurerm_elastic_cloud_elasticsearch,Microsoft.Elastic/monitors
azurerm_eventgrid_domain,false
azurerm_eventgrid_domain_topic,false
azurerm_eventgrid_event_subscription,false
azurerm_eventgrid_system_topic,false
azurerm_eventgrid_system_topic_event_subscription,false
azurerm_eventgrid_topic,false
azurerm_eventhub,false
azurerm_eventhub_authorization_rule,false
azurerm_eventhub_cluster,false
azurerm_eventhub_consumer_group,false
azurerm_eventhub_namespace,false
azurerm_eventhub_namespace_authorization_rule,false
azurerm_eventhub_namespace_customer_managed_key,false
azurerm_eventhub_namespace_disaster_recovery_config,false
azurerm_eventhub_namespace_schema_group,false
azurerm_express_route_circuit,false
azurerm_express_route_circuit_authorization,false
azurerm_express_route_circuit_connection,false
azurerm_express_route_circuit_peering,false
azurerm_express_route_connection,false
azurerm_express_route_gateway,false
azurerm_express_route_port,false
azurerm_firewall,false
azurerm_firewall_application_rule_collection,false
azurerm_firewall_nat_rule_collection,false
azurerm_firewall_network_rule_collection,false
azurerm_firewall_policy,false
azurerm_firewall_policy_rule_collection_group,false
azurerm_fluid_relay_server,false
azurerm_frontdoor,false
azurerm_frontdoor_custom_https_configuration,false
azurerm_frontdoor_firewall_policy,false
azurerm_frontdoor_rules_engine,false
azurerm_function_app,Microsoft.Web/sites
azurerm_function_app_active_slot,false
azurerm_function_app_function,false
azurerm_function_app_hybrid_connection,false
azurerm_function_app_slot,false
azurerm_gallery_application,false
azurerm_gallery_application_version,false
azurerm_hdinsight_hadoop_cluster,false
azurerm_hdinsight_hbase_cluster,false
azurerm_hdinsight_interactive_query_cluster,false
azurerm_hdinsight_kafka_cluster,false
azurerm_hdinsight_spark_cluster,false
azurerm_healthbot,false
azurerm_healthcare_dicom_service,false
azurerm_healthcare_fhir_service,false
azurerm_healthcare_medtech_service,false
azurerm_healthcare_medtech_service_fhir_destination,false
azurerm_healthcare_service,false
azurerm_healthcare_workspace,false
azurerm_hpc_cache,false
azurerm_hpc_cache_access_policy,false
